quarter,healthboard,percentage_occupancy_by_board
2018 Q1,Tayside,77.05709520183257
2018 Q2,Tayside,75.6714868750278
2018 Q3,Tayside,75.41294916734769
2018 Q4,Tayside,74.69398586861573
2019 Q1,Tayside,80.30499386927194
2019 Q2,Tayside,79.1680754783398
2019 Q3,Tayside,78.93900885857413
2019 Q4,Tayside,77.94292313491054
2020 Q1,Tayside,73.77787906045225
2020 Q2,Tayside,53.52465953158616
2020 Q3,Tayside,68.06211461920769
2020 Q4,Tayside,69.50994839503993
2021 Q1,Tayside,69.5200519119897
2021 Q2,Tayside,69.21276588714589
2021 Q3,Tayside,71.96828083090152
2021 Q4,Tayside,73.26650396506463
2016 Q4,Western Isles,77.73172112584923
2017 Q1,Western Isles,76.49648788679323
2017 Q2,Western Isles,72.88769676007624
2017 Q3,Western Isles,69.62912322679884
2017 Q4,Western Isles,71.9338528053934
2018 Q1,Western Isles,74.6291227197029
2018 Q2,Western Isles,74.49258205563936
2018 Q3,Western Isles,67.35760108864697
2018 Q4,Western Isles,68.30159391208875
2019 Q1,Western Isles,68.84984450174105
2019 Q2,Western Isles,71.06961589071997
2019 Q3,Western Isles,67.58030792624976
2019 Q4,Western Isles,70.08098465255885
2020 Q1,Western Isles,64.96520335529623
2020 Q2,Western Isles,36.429894621761974
2020 Q3,Western Isles,44.34031005804166
2020 Q4,Western Isles,50.878002630546646
2021 Q1,Western Isles,57.61756806572226
2021 Q2,Western Isles,59.41608463434675
2021 Q3,Western Isles,60.539248240138136
2021 Q4,Western Isles,62.41146082973851
