quarter,healthboard,percentage_occupancy_by_board,percent_wards_over_ninety
2021 Q1,Highland,82.13757595311073,47.05882352941176
2021 Q3,Highland,86.43491314604333,50.68493150684932
2016 Q4,Highland,82.50484614870435,37.17948717948718
2017 Q1,Highland,83.86785731833145,40.25974025974026
2017 Q3,Highland,81.67467175081171,40.25974025974026
2017 Q4,Highland,82.66227646107721,41.77215189873418
2018 Q4,Highland,82.68831166124431,40.25974025974026
2019 Q1,Highland,86.42136739778672,47.368421052631575
2019 Q2,Highland,83.97835392676997,41.02564102564102
2019 Q3,Highland,83.81594241118958,40.25974025974026
2019 Q4,Highland,83.97538250096004,39.743589743589745
2020 Q1,Highland,80.6468262908875,33.78378378378378
2020 Q4,Highland,81.44346094268643,42.465753424657535
2021 Q2,Highland,84.00801836765615,52.112676056338024
2021 Q4,Highland,85.34489612183901,46.3768115942029
2020 Q2,Highland,61.52808356933765,16.666666666666664
2016 Q4,Lanarkshire,83.28634676736768,45.744680851063826
2017 Q3,Lanarkshire,81.26147310050229,42.5531914893617
2018 Q1,Lanarkshire,84.62624048013491,48.35164835164835
2018 Q2,Lanarkshire,81.63868598496069,44.680851063829785
2018 Q3,Lanarkshire,81.84927459954426,45
2018 Q4,Lanarkshire,82.16937878842813,54.83870967741935
2019 Q1,Lanarkshire,84.15795912468617,54.25531914893617
2019 Q2,Lanarkshire,84.01351133441402,53.608247422680414
2019 Q3,Lanarkshire,84.56090258795771,55.55555555555556
2019 Q4,Lanarkshire,85.21262577413107,53.06122448979592
2020 Q1,Lanarkshire,78.96314382675645,34.78260869565217
2020 Q2,Lanarkshire,54.29941972417806,26.190476190476193
2020 Q3,Lanarkshire,71.37712254030528,35.55555555555556
2020 Q4,Lanarkshire,73.54005155080196,38.04347826086957
2021 Q1,Lanarkshire,76.63358599671798,38.297872340425535
2021 Q2,Lanarkshire,77.86218346833009,45.26315789473684
2021 Q3,Lanarkshire,81.49905474722274,46.391752577319586
2021 Q4,Lanarkshire,83.84758773588553,52.63157894736842
2017 Q1,Lanarkshire,86.0227549499539,54.83870967741935
2017 Q2,Lanarkshire,84.1094266211774,46.808510638297875
2017 Q4,Lanarkshire,84.15586263464935,47.77777777777778
2019 Q2,Lothian,84.94116305507622,39.09090909090909
2019 Q3,Lothian,84.40347032919139,42.34234234234234
2019 Q4,Lothian,85.4505502782203,46.42857142857143
2020 Q1,Lothian,82.60187772893181,25.454545454545453
2020 Q2,Lothian,59.625685130925866,13.761467889908257
2020 Q3,Lothian,71.76080998568948,16.8141592920354
2020 Q4,Lothian,76.4505228921832,22.608695652173914
2021 Q1,Lothian,76.95823395388491,21.296296296296298
2021 Q2,Lothian,78.5835267406803,26.923076923076923
2021 Q3,Lothian,81.19461126440513,31.818181818181817
2021 Q4,Lothian,83.01075875771909,35.39823008849557
2016 Q4,Lothian,88.04570958190257,44.339622641509436
2017 Q1,Lothian,88.95387163743214,48.57142857142857
2017 Q2,Lothian,87.76808506943439,42.05607476635514
2017 Q3,Lothian,86.94930923884678,44.85981308411215
2017 Q4,Lothian,87.8229063784611,42.45283018867924
2018 Q1,Lothian,89.57377163860218,55.140186915887845
2018 Q2,Lothian,88.49938549488611,50
2018 Q3,Lothian,86.89982289213486,43.39622641509434
2018 Q4,Lothian,86.79234708734498,42.05607476635514
2019 Q1,Lothian,88.03512023585867,49.03846153846153
2017 Q2,Orkney,85.67214760888666,73.68421052631578
2017 Q3,Orkney,76.31912480821826,72.22222222222221
2016 Q4,Orkney,88.0415190502828,68.75
2017 Q1,Orkney,86.90527882885677,68.42105263157895
2017 Q4,Orkney,89.65558766859345,66.66666666666666
2018 Q1,Orkney,88.28405973788479,68.75
2018 Q2,Orkney,85.8433734939759,69.23076923076923
2018 Q3,Orkney,88.6893528946247,75
2018 Q4,Orkney,89.65011906942664,64.28571428571429
2019 Q1,Orkney,90.5910222924133,68.75
2019 Q2,Orkney,85.07722969606377,70.58823529411765
2019 Q3,Orkney,74.02757452052684,58.333333333333336
2019 Q4,Orkney,76.17125463208046,61.53846153846154
2020 Q1,Orkney,77.72896039603961,56.25
2021 Q2,Orkney,68.82442087031825,45.45454545454545
2020 Q2,Orkney,45.18154518154518,46.15384615384615
2021 Q4,Orkney,77.86587580196102,53.333333333333336
2020 Q4,Orkney,70.5069454389231,45.45454545454545
2021 Q3,Orkney,65.44572920552034,50
2020 Q3,Orkney,58.28100256648283,41.66666666666667
2021 Q1,Orkney,70.98625156232247,41.66666666666667
2017 Q1,Shetland,48.842018196856905,30.76923076923077
2017 Q2,Shetland,44.68587866646119,30.76923076923077
2017 Q3,Shetland,56.765995872033024,30
2017 Q4,Shetland,56.70621614650503,41.66666666666667
2018 Q2,Shetland,53.04638364779875,36.36363636363637
2018 Q4,Shetland,54.415089464504874,36.36363636363637
2019 Q3,Shetland,58.745098039215684,30
2021 Q1,Shetland,35.646687697160885,36.36363636363637
2021 Q3,Shetland,42.393581685318615,36.36363636363637
2018 Q1,Shetland,52.709685967934284,30
2018 Q3,Shetland,53.94321766561514,30
2019 Q1,Shetland,59.86105203459521,36.36363636363637
2019 Q4,Shetland,59.45259042033235,30
2020 Q1,Shetland,53.062519834973024,30
2021 Q4,Shetland,40.63571684496085,36.36363636363637
2016 Q4,Shetland,47.97734627831715,18.181818181818183
2019 Q2,Shetland,56.48579489534807,36.36363636363637
2020 Q4,Shetland,35.502692998204665,30
2021 Q2,Shetland,34.0403937886938,30
2020 Q2,Shetland,26.612767390938185,33.33333333333333
2020 Q3,Shetland,35.283268975851534,33.33333333333333
2017 Q4,Tayside,75.26302166294998,21.49532710280374
2018 Q4,Tayside,74.69398586861573,20.388349514563107
2019 Q1,Tayside,80.30499386927194,26.47058823529412
2021 Q1,Tayside,69.5200519119897,22.772277227722775
2017 Q2,Tayside,66.24479361452511,9.615384615384617
2021 Q4,Tayside,73.26650396506463,25.773195876288657
2019 Q4,Tayside,77.94292313491054,20.588235294117645
2020 Q3,Tayside,68.06211461920769,20.388349514563107
2020 Q4,Tayside,69.50994839503993,22.772277227722775
2021 Q2,Tayside,69.21276588714589,21.782178217821784
2021 Q3,Tayside,71.96828083090152,22
2018 Q1,Tayside,77.05709520183257,24.761904761904763
2018 Q2,Tayside,75.6714868750278,22.330097087378643
2018 Q3,Tayside,75.41294916734769,19.19191919191919
2019 Q2,Tayside,79.1680754783398,22.54901960784314
2019 Q3,Tayside,78.93900885857413,22.330097087378643
2020 Q1,Tayside,73.77787906045225,18.269230769230766
2017 Q3,Tayside,72.65893434542488,18.34862385321101
2016 Q4,Tayside,64.61256712945776,13.541666666666666
2017 Q1,Tayside,65.51400063424458,11
2020 Q2,Tayside,53.52465953158616,13.402061855670103
2018 Q1,Western Isles,74.6291227197029,26.08695652173913
2019 Q3,Western Isles,67.58030792624976,21.73913043478261
2019 Q4,Western Isles,70.08098465255885,32
2016 Q4,Western Isles,77.73172112584923,29.166666666666668
2018 Q3,Western Isles,67.35760108864697,28.57142857142857
2020 Q3,Western Isles,44.34031005804166,15
2017 Q2,Western Isles,72.88769676007624,35
2017 Q4,Western Isles,71.9338528053934,31.818181818181817
2017 Q1,Western Isles,76.49648788679323,27.27272727272727
2018 Q2,Western Isles,74.49258205563936,33.33333333333333
2018 Q4,Western Isles,68.30159391208875,16.666666666666664
2019 Q1,Western Isles,68.84984450174105,22.22222222222222
2019 Q2,Western Isles,71.06961589071997,10
2017 Q3,Western Isles,69.62912322679884,28.57142857142857
2020 Q4,Western Isles,50.878002630546646,25
2020 Q1,Western Isles,64.96520335529623,21.052631578947366
2020 Q2,Western Isles,36.429894621761974,11.11111111111111
2021 Q1,Western Isles,57.61756806572226,16.666666666666664
2021 Q2,Western Isles,59.41608463434675,16.666666666666664
2021 Q3,Western Isles,60.539248240138136,18.75
2021 Q4,Western Isles,62.41146082973851,18.75
